source,target,flow_usd_m,input_share,penetration
MYS:automotive,MYS:consumer_goods,230.4,0.00287,0.76467
IDN:electronics_c26,IDN:aerospace,230.2,0.01123,0.60768
CZE:automotive,GBR:automotive,229.5,0.00402,0.01873
CHE:electronics_c26,THA:electronics_c26,229.3,0.00267,0.00511
AUT:aerospace,DEU:aerospace,228.7,0.0059,0.01557
VNM:electronics_c26,NLD:electronics_c26,228.4,0.01059,0.03816
TWN:electronics_c26,TWN:aerospace,228.2,0.02479,0.92197
CHN:shipping,USA:shipping,227.4,0.00491,0.03331
JPN:consumer_goods,TWN:consumer_goods,227.1,0.00437,0.01664
FRA:electronics_c26,CHE:electronics_c26,227.0,0.00571,0.01287
SGP:electronics_c26,DEU:electronics_c26,226.4,0.00414,0.01817
SVK:automotive,HUN:automotive,225.6,0.00848,0.02787
VNM:consumer_goods,VNM:electronics_c26,225.3,0.00219,0.65796
IRL:consumer_goods,NLD:consumer_goods,225.1,0.00262,0.01272
GBR:aerospace,SGP:shipping,224.5,0.0032,0.08833
PHL:shipping,SGP:shipping,224.4,0.0032,0.01069
SGP:shipping,ARE:shipping,223.8,0.05889,0.22458
CHN:consumer_goods,PAK:consumer_goods,223.7,0.00548,0.0335
DEU:aerospace,GBR:consumer_goods,223.3,0.00187,0.05111
USA:automotive,RUS:automotive,222.9,0.00661,0.01726
CHN:electronics_c26,GBR:automotive,222.8,0.00391,0.20452
BEL:automotive,FRA:automotive,222.8,0.00292,0.00856
CAN:aerospace,CAN:consumer_goods,222.6,0.00241,0.65765
USA:electronics_c26,FRA:electronics_c26,222.2,0.0138,0.05597
CHN:automotive,SVK:automotive,219.8,0.00735,0.01287
JPN:automotive,HUN:automotive,219.7,0.00826,0.02715
FRA:shipping,CHE:shipping,219.5,0.00974,0.0312
FRA:aerospace,IRL:consumer_goods,219.3,0.00766,0.61986
MEX:automotive,ROW:automotive,219.3,0.00524,0.02486
DEU:shipping,HKG:shipping,219.1,0.01249,0.01918
CHE:electronics_c26,FRA:electronics_c26,218.7,0.01358,0.05509
DEU:automotive,THA:automotive,218.2,0.00628,0.02166
ITA:consumer_goods,POL:consumer_goods,217.9,0.00267,0.01094
ROW:shipping,ROW:automotive,217.8,0.0052,0.52751
USA:aerospace,MEX:automotive,216.4,0.00164,0.20214
CHN:automotive,CZE:automotive,216.0,0.00492,0.01137
USA:aerospace,DEU:consumer_goods,215.7,0.00094,0.09348
CHN:consumer_goods,TWN:electronics_c26,214.8,0.0016,0.07671
ESP:automotive,BEL:automotive,214.7,0.01714,0.04276
ITA:consumer_goods,ROU:consumer_goods,214.4,0.00991,0.05501
TWN:electronics_c26,TWN:automotive,214.2,0.02004,0.83459
PHL:electronics_c26,MYS:electronics_c26,213.2,0.00399,0.00871
USA:aerospace,ITA:aerospace,212.1,0.01312,0.04682
NLD:consumer_goods,NLD:aerospace,212.1,0.10454,0.81235
KOR:automotive,IND:automotive,211.8,0.00242,0.00899
IND:consumer_goods,MYS:consumer_goods,211.7,0.00264,0.00847
NGA:consumer_goods,NGA:automotive,211.1,0.12139,0.85949
ITA:automotive,AUT:automotive,210.1,0.01325,0.04075
DEU:electronics_c26,PHL:electronics_c26,209.9,0.0107,0.01871
ARG:consumer_goods,ARG:automotive,209.5,0.02388,0.81914
USA:shipping,SGP:shipping,208.1,0.00296,0.00991
POL:automotive,GBR:automotive,207.9,0.00365,0.01697
FRA:electronics_c26,FRA:automotive,207.8,0.00272,0.17524
ITA:automotive,ITA:aerospace,206.8,0.01279,0.5318
CHN:consumer_goods,BLR:consumer_goods,206.8,0.0161,0.05417
CHN:electronics_c26,FRA:aerospace,206.7,0.00207,0.24896
IRL:electronics_c26,MYS:electronics_c26,206.3,0.00386,0.00843
FRA:automotive,HUN:automotive,206.2,0.00775,0.02547
ITA:consumer_goods,ITA:electronics_c26,206.2,0.01306,0.77349
ISR:shipping,ISR:electronics_c26,206.1,0.01437,0.92843
USA:aerospace,IND:aerospace,205.7,0.00903,0.06108
IDN:electronics_c26,IDN:automotive,205.5,0.00813,0.60763
CHN:automotive,FRA:automotive,205.4,0.00269,0.0079
CZE:automotive,NLD:automotive,205.1,0.01469,0.02928
NZL:consumer_goods,AUS:consumer_goods,204.9,0.0029,0.02087
ITA:automotive,HUN:automotive,204.6,0.00769,0.02528
BRA:aerospace,FRA:aerospace,204.4,0.00204,0.00335
ITA:consumer_goods,ITA:aerospace,204.3,0.01264,0.82449
SGP:electronics_c26,SGP:shipping,203.3,0.0029,0.686
JPN:shipping,JPN:aerospace,203.3,0.00661,0.85388
ROW:shipping,USA:shipping,202.7,0.00438,0.0297
SWE:automotive,SWE:consumer_goods,202.4,0.0096,0.92892
MYS:consumer_goods,SGP:consumer_goods,202.3,0.0145,0.08143
GBR:shipping,GBR:consumer_goods,200.9,0.00168,0.76212
GRC:shipping,JPN:shipping,200.3,0.00714,0.024
MYS:shipping,SGP:shipping,200.0,0.00285,0.00952
SWE:automotive,POL:automotive,199.6,0.00623,0.01966
DEU:aerospace,ESP:aerospace,199.6,0.01753,0.04381
TUR:shipping,ROW:shipping,198.2,0.00721,0.01588
BRA:consumer_goods,NLD:consumer_goods,198.2,0.0023,0.0112
CHN:electronics_c26,ARG:electronics_c26,197.4,0.08367,0.30262
CZE:automotive,RUS:automotive,197.4,0.00586,0.01529
TUR:aerospace,TUR:consumer_goods,196.8,0.00167,0.39415
DNK:shipping,HKG:shipping,196.8,0.01122,0.01724
USA:aerospace,CHE:aerospace,196.7,0.04498,0.19414
POL:consumer_goods,NLD:consumer_goods,196.5,0.00228,0.0111
ROW:consumer_goods,ROW:electronics_c26,195.6,0.01073,0.64242
GBR:automotive,NLD:automotive,195.4,0.01399,0.0279
SGP:shipping,VNM:shipping,194.8,0.03465,0.22972
FIN:electronics_c26,FIN:consumer_goods,194.5,0.01423,0.63279
PRT:consumer_goods,PRT:automotive,194.4,0.01822,0.60824
CHN:aerospace,DEU:aerospace,194.3,0.00501,0.01323
RUS:electronics_c26,RUS:aerospace,194.0,0.00998,0.45351
GBR:automotive,POL:automotive,193.7,0.00604,0.01908
IRL:electronics_c26,NLD:electronics_c26,193.4,0.00896,0.0323
CHE:shipping,ROW:shipping,193.3,0.00703,0.01549
THA:electronics_c26,PHL:electronics_c26,192.5,0.00982,0.01716
ITA:aerospace,GBR:aerospace,192.0,0.00758,0.02391
THA:electronics_c26,DEU:electronics_c26,191.8,0.00351,0.01539
ROW:consumer_goods,POL:consumer_goods,190.5,0.00234,0.00956
CHN:shipping,DEU:shipping,190.3,0.00619,0.04338
CHN:consumer_goods,BEL:consumer_goods,190.1,0.0038,0.0164
SGP:shipping,PHL:shipping,189.6,0.19854,0.57107
ROW:consumer_goods,CHE:consumer_goods,189.1,0.00362,0.01172
NLD:consumer_goods,CHE:consumer_goods,189.1,0.00362,0.01172
ITA:consumer_goods,PRT:consumer_goods,188.8,0.00741,0.02946
FRA:aerospace,THA:aerospace,188.8,0.03517,0.09315
CHN:electronics_c26,MEX:aerospace,188.6,0.01625,0.28733
CHN:consumer_goods,SGP:consumer_goods,188.2,0.0135,0.07577
SGP:shipping,JPN:automotive,188.1,0.00053,0.08676
USA:aerospace,ARE:aerospace,188.0,0.15546,0.2797
TUR:automotive,CZE:automotive,187.5,0.00427,0.00987
CHN:automotive,IND:automotive,187.3,0.00214,0.00795
DEU:aerospace,FRA:consumer_goods,187.0,0.00094,0.12603
THA:aerospace,THA:consumer_goods,186.9,0.00138,0.59305
CHE:shipping,DEU:shipping,186.6,0.00607,0.04254
CZE:automotive,BEL:automotive,186.4,0.01488,0.03711
MEX:electronics_c26,SGP:electronics_c26,185.7,0.00262,0.00505
AUT:electronics_c26,DEU:electronics_c26,185.3,0.00339,0.01487
MEX:automotive,MEX:aerospace,184.6,0.01591,0.76374
USA:shipping,USA:electronics_c26,184.4,0.00152,0.81994
MEX:electronics_c26,CAN:electronics_c26,183.4,0.02653,0.09169
NLD:shipping,NLD:consumer_goods,183.2,0.00213,0.78548
CHN:consumer_goods,SAU:consumer_goods,182.8,0.00781,0.09435
GBR:automotive,AUT:automotive,182.7,0.01152,0.03543
SGP:shipping,ROW:consumer_goods,182.7,0.00058,0.07542
THA:consumer_goods,PHL:consumer_goods,182.5,0.00221,0.00715
IDN:consumer_goods,PHL:consumer_goods,182.5,0.00221,0.00715
JPN:automotive,AUS:consumer_goods,182.3,0.00258,0.19377
CHN:electronics_c26,ESP:electronics_c26,182.3,0.04954,0.28836
HKG:shipping,JPN:shipping,182.2,0.00649,0.02183
KOR:automotive,FRA:automotive,182.2,0.00238,0.00701
USA:shipping,ROW:shipping,182.1,0.00663,0.0146
USA:aerospace,FRA:consumer_goods,181.2,0.00091,0.12212
HKG:shipping,HKG:electronics_c26,181.1,0.02525,0.93215
SVK:automotive,POL:automotive,180.8,0.00564,0.01782
CHN:consumer_goods,HKG:consumer_goods,180.5,0.01978,0.14514
THA:consumer_goods,THA:shipping,180.4,0.02889,0.91985
THA:aerospace,THA:automotive,179.7,0.00517,0.59078
AUT:consumer_goods,CHE:consumer_goods,178.7,0.00342,0.01108
CHN:electronics_c26,ROW:consumer_goods,178.5,0.00056,0.26942
GBR:automotive,ITA:automotive,178.5,0.0034,0.02234
CHN:electronics_c26,AUS:consumer_goods,178.5,0.00253,0.36228
DNK:shipping,BEL:shipping,178.4,0.07044,0.24045
HKG:shipping,HKG:consumer_goods,178.2,0.01953,0.75858
HUN:automotive,POL:automotive,178.1,0.00556,0.01755
GBR:consumer_goods,FRA:aerospace,177.6,0.00178,0.08667
ISR:electronics_c26,ISR:aerospace,177.6,0.05941,0.80242
TWN:electronics_c26,SGP:consumer_goods,177.6,0.01274,0.12292
NOR:shipping,JPN:shipping,177.4,0.00632,0.02126
ROU:automotive,HUN:automotive,177.4,0.00666,0.02192
KOR:automotive,BRA:automotive,177.1,0.00295,0.00887
CHN:aerospace,GBR:aerospace,177.1,0.00699,0.02206
CZE:automotive,ITA:automotive,177.0,0.00337,0.02214
DEU:consumer_goods,HUN:consumer_goods,176.9,0.01308,0.0786
USA:automotive,USA:electronics_c26,176.7,0.00146,0.45962
POL:consumer_goods,POL:aerospace,176.3,0.03754,0.84024
CHN:electronics_c26,NOR:electronics_c26,176.2,0.09766,0.33617
ITA:automotive,ITA:electronics_c26,175.8,0.01113,0.52455
USA:consumer_goods,COL:consumer_goods,175.7,0.00531,0.02405
JPN:automotive,TUR:automotive,175.7,0.00805,0.03186
CZE:automotive,TUR:automotive,175.4,0.00804,0.0318
AUS:electronics_c26,AUS:consumer_goods,175.4,0.00249,0.35592
CZE:electronics_c26,CZE:automotive,175.2,0.00399,0.49136
NOR:shipping,KOR:shipping,174.7,0.00825,0.02644
SGP:shipping,MMR:shipping,174.0,0.16215,0.38024
FRA:automotive,AUT:automotive,173.8,0.01096,0.0337
CHN:electronics_c26,RUS:consumer_goods,173.2,0.00144,0.29254
SWE:electronics_c26,SWE:automotive,173.0,0.00577,0.35617
CHN:electronics_c26,ZAF:electronics_c26,172.7,0.10939,0.47034
CHN:electronics_c26,CZE:aerospace,172.4,0.08593,0.44617
USA:electronics_c26,CAN:automotive,172.1,0.0028,0.16864
CHN:aerospace,ESP:aerospace,172.1,0.01511,0.03776
TWN:electronics_c26,VNM:consumer_goods,172.0,0.00125,0.06
POL:automotive,NLD:automotive,171.7,0.01229,0.02451
USA:electronics_c26,HUN:electronics_c26,171.6,0.01469,0.02936
TUR:consumer_goods,MAR:consumer_goods,171.6,0.00834,0.03391
FRA:aerospace,MEX:aerospace,171.6,0.01478,0.0476
ROW:shipping,KOR:shipping,171.5,0.0081,0.02596
CAN:electronics_c26,MEX:electronics_c26,171.3,0.00219,0.00407
GBR:aerospace,GBR:automotive,171.2,0.003,0.82235
CHN:automotive,POL:automotive,171.2,0.00534,0.01687
FRA:shipping,USA:shipping,171.0,0.00369,0.02505
SGP:shipping,MYS:electronics_c26,170.9,0.0032,0.33311
AUT:automotive,CZE:automotive,170.8,0.00389,0.00899
FRA:automotive,TUR:automotive,170.2,0.0078,0.03086
CHN:electronics_c26,ARE:automotive,169.5,0.04437,0.39889
BEL:consumer_goods,BEL:automotive,168.3,0.01343,0.47424
ITA:aerospace,DEU:aerospace,168.1,0.00434,0.01145
IRL:electronics_c26,DEU:electronics_c26,168.1,0.00308,0.01349
DEU:automotive,POL:consumer_goods,167.6,0.00206,0.17929
ITA:automotive,TUR:automotive,167.5,0.00767,0.03036
FRA:aerospace,MYS:aerospace,167.5,0.07957,0.28645
USA:automotive,FRA:automotive,167.4,0.00219,0.00644
DEU:shipping,NLD:shipping,166.0,0.02403,0.14794
GBR:electronics_c26,DEU:electronics_c26,165.9,0.00304,0.01332
CHN:electronics_c26,ARE:consumer_goods,165.8,0.00935,0.38527
KOR:shipping,USA:shipping,165.4,0.00357,0.02422
CAN:shipping,CAN:automotive,165.3,0.00269,0.8872
RUS:automotive,BLR:automotive,165.0,0.10454,0.25822
CHN:electronics_c26,EST:electronics_c26,164.3,0.14675,0.31627
ITA:consumer_goods,BEL:consumer_goods,164.2,0.00328,0.01416
UKR:aerospace,UKR:consumer_goods,163.9,0.00573,0.86062
FRA:aerospace,CHN:automotive,163.6,0.00022,0.05541
FRA:shipping,FRA:consumer_goods,163.5,0.00082,0.69467
FRA:electronics_c26,FRA:consumer_goods,163.5,0.00082,0.16121
ZAF:consumer_goods,ZAF:automotive,162.8,0.0112,0.46531
CHN:consumer_goods,ROW:automotive,162.7,0.00389,0.12409
GBR:electronics_c26,GBR:aerospace,162.7,0.00642,0.54339
NLD:automotive,POL:automotive,162.7,0.00508,0.01603
CZE:consumer_goods,CZE:electronics_c26,162.3,0.01392,0.6338
IDN:consumer_goods,BGD:consumer_goods,161.7,0.00293,0.00569
NLD:automotive,BEL:automotive,161.5,0.01289,0.03216
TUR:automotive,ROU:automotive,161.4,0.0096,0.03794
DEU:consumer_goods,ROU:consumer_goods,161.3,0.00745,0.04138
THA:automotive,VNM:automotive,161.3,0.03547,0.21143
IND:automotive,THA:automotive,161.2,0.00464,0.01601
SVK:automotive,GBR:automotive,161.2,0.00283,0.01316
ROW:consumer_goods,COL:consumer_goods,160.5,0.00484,0.02197
KOR:automotive,GBR:automotive,160.4,0.00281,0.01309
FRA:aerospace,ITA:aerospace,159.6,0.00987,0.03523
SGP:shipping,PAK:shipping,159.1,0.05385,0.09038
KOR:electronics_c26,HUN:electronics_c26,158.7,0.01358,0.02714
ITA:electronics_c26,SGP:electronics_c26,158.7,0.00224,0.00432
ITA:consumer_goods,TUN:consumer_goods,158.3,0.0292,0.13316
CHN:automotive,ZAF:automotive,158.1,0.01087,0.03964
CZE:electronics_c26,HUN:electronics_c26,157.9,0.01351,0.02701
UKR:aerospace,UKR:automotive,157.5,0.17283,0.8614
USA:automotive,NLD:automotive,157.2,0.01126,0.02244
ROW:electronics_c26,ROW:consumer_goods,157.1,0.0005,0.23719
CHN:automotive,TWN:automotive,156.9,0.01468,0.03128
MYS:automotive,MYS:electronics_c26,156.8,0.00294,0.61076
DEU:aerospace,FRA:automotive,156.5,0.00205,0.12642
FRA:electronics_c26,NLD:electronics_c26,156.4,0.00725,0.02613
CAN:aerospace,CAN:automotive,156.1,0.00254,0.55352
BEL:aerospace,BEL:consumer_goods,155.6,0.00311,0.6075
CHN:electronics_c26,IND:consumer_goods,155.3,0.0004,0.2432
MEX:consumer_goods,MEX:aerospace,154.8,0.01333,0.80013
USA:aerospace,TWN:consumer_goods,154.8,0.00298,0.18683
JPN:automotive,SVK:automotive,154.2,0.00516,0.00903
POL:consumer_goods,CZE:consumer_goods,154.1,0.00779,0.04255
JPN:automotive,USA:consumer_goods,153.9,0.00018,0.05043
JPN:electronics_c26,NLD:electronics_c26,153.7,0.00713,0.02568
ITA:consumer_goods,AUT:consumer_goods,153.3,0.0054,0.0316
DNK:shipping,SWE:shipping,153.1,0.04634,0.21924
USA:aerospace,THA:aerospace,153.1,0.02852,0.07554
MYS:electronics_c26,PHL:electronics_c26,153.0,0.0078,0.01364
CHL:electronics_c26,CHL:consumer_goods,152.9,0.00548,0.76325
USA:aerospace,FRA:automotive,152.8,0.002,0.12344
ESP:automotive,TUR:automotive,152.7,0.007,0.02769
DEU:automotive,DEU:aerospace,152.4,0.00393,0.77657
KOR:consumer_goods,BGD:consumer_goods,152.0,0.00275,0.00535
ESP:automotive,NLD:automotive,151.8,0.01087,0.02168
BRA:electronics_c26,BRA:automotive,151.3,0.00252,0.6461
THA:automotive,AUS:consumer_goods,151.3,0.00214,0.16084
HUN:automotive,AUT:automotive,151.1,0.00953,0.0293
DEU:automotive,SVN:automotive,150.8,0.04474,0.14251
PHL:electronics_c26,DEU:electronics_c26,150.7,0.00276,0.0121
USA:shipping,JPN:shipping,150.1,0.00535,0.01799
KOR:automotive,KOR:aerospace,149.7,0.02184,0.90276
ROW:consumer_goods,ARE:consumer_goods,149.5,0.00844,0.04006
VNM:electronics_c26,RUS:electronics_c26,149.4,0.01099,0.03537
JPN:electronics_c26,IND:electronics_c26,149.4,0.00478,0.0207
NLD:aerospace,GBR:aerospace,149.4,0.0059,0.01861
ESP:automotive,CAN:automotive,149.3,0.00243,0.00514
GBR:shipping,USA:shipping,149.2,0.00322,0.02186
ESP:automotive,AUT:automotive,148.8,0.00938,0.02886
KOR:electronics_c26,SVK:electronics_c26,148.7,0.03639,0.06784
FRA:automotive,MAR:automotive,148.6,0.02235,0.13993
ARE:electronics_c26,ARE:consumer_goods,148.1,0.00836,0.34427
SWE:aerospace,SWE:consumer_goods,148.0,0.00702,0.68677
USA:consumer_goods,CHE:consumer_goods,148.0,0.00283,0.00917
TUR:shipping,SGP:shipping,148.0,0.00211,0.00705
HUN:automotive,HUN:electronics_c26,147.7,0.01264,0.63874
POL:automotive,TUR:automotive,147.6,0.00676,0.02677
GRC:shipping,KOR:shipping,147.5,0.00697,0.02234
DEU:consumer_goods,KOR:electronics_c26,147.5,0.00079,0.05454
GBR:automotive,CZE:automotive,147.4,0.00336,0.00776
POL:aerospace,DEU:aerospace,147.3,0.0038,0.01003
DEU:electronics_c26,ROW:electronics_c26,147.1,0.00808,0.03135
DEU:aerospace,DEU:shipping,147.0,0.00478,0.57204
ESP:electronics_c26,ESP:automotive,146.8,0.00243,0.15324
CHN:consumer_goods,CZE:consumer_goods,146.6,0.00742,0.0405
ROW:consumer_goods,CHL:consumer_goods,146.6,0.00526,0.03248
THA:shipping,THA:automotive,146.4,0.00421,0.78098
VNM:electronics_c26,PHL:electronics_c26,146.2,0.00745,0.01303
MYS:consumer_goods,MYS:automotive,145.7,0.01705,0.91759
NOR:shipping,USA:shipping,145.5,0.00314,0.02131
DEU:automotive,CHN:electronics_c26,145.5,0.0001,0.06865
CHN:consumer_goods,PRT:consumer_goods,145.0,0.00569,0.02263
CAN:aerospace,DEU:aerospace,144.6,0.00373,0.00985
SWE:shipping,SWE:automotive,144.6,0.00482,0.64602
USA:automotive,CAN:aerospace,144.4,0.00766,0.393
VNM:electronics_c26,VNM:aerospace,144.3,0.06673,0.44282
SGP:shipping,ISR:shipping,144.2,0.02279,0.03866
SVK:electronics_c26,HUN:electronics_c26,144.1,0.01233,0.02465
DEU:electronics_c26,PRT:electronics_c26,144.1,0.06412,0.24456
ITA:shipping,ITA:automotive,144.0,0.00274,0.76925
SWE:consumer_goods,SWE:shipping,144.0,0.0436,0.86743
DEU:aerospace,ITA:aerospace,143.7,0.00889,0.03173
IDN:consumer_goods,IDN:shipping,143.7,0.01919,0.89317
FRA:electronics_c26,FRA:aerospace,142.9,0.00143,0.17206
NLD:shipping,CHE:shipping,142.7,0.00633,0.02029
ARE:electronics_c26,ARE:automotive,142.5,0.0373,0.33532
JPN:aerospace,DEU:aerospace,142.3,0.00367,0.00969
ROW:shipping,DEU:shipping,141.7,0.00461,0.0323
AUT:electronics_c26,HUN:electronics_c26,141.6,0.01212,0.02422
VNM:electronics_c26,IND:automotive,141.6,0.00162,0.07539
FRA:automotive,ROU:automotive,141.5,0.00841,0.03326
CHN:consumer_goods,JPN:automotive,140.8,0.0004,0.1105
SWE:automotive,GBR:automotive,140.7,0.00247,0.01148
CHN:automotive,MYS:automotive,140.7,0.01647,0.04251
GRC:shipping,GRC:consumer_goods,140.5,0.00982,0.88097
CHN:consumer_goods,AUT:consumer_goods,140.2,0.00494,0.02891
HUN:consumer_goods,HUN:automotive,140.2,0.00527,0.36422
GBR:shipping,JPN:shipping,140.2,0.005,0.0168
BRA:aerospace,IDN:aerospace,140.1,0.00683,0.02737
TUR:shipping,GRC:shipping,139.9,0.00973,0.02513
DEU:electronics_c26,GBR:electronics_c26,139.9,0.01119,0.07532
ITA:electronics_c26,ITA:aerospace,139.9,0.00865,0.3588
ROU:automotive,ESP:automotive,139.8,0.00231,0.00725
USA:automotive,THA:automotive,139.4,0.00401,0.01384
RUS:consumer_goods,RUS:electronics_c26,139.2,0.01024,0.66342
CHN:aerospace,RUS:aerospace,139.1,0.00715,0.01972
VNM:electronics_c26,POL:electronics_c26,139.1,0.01617,0.04106
FRA:electronics_c26,HUN:electronics_c26,139.0,0.0119,0.02378
DEU:aerospace,CAN:aerospace,138.6,0.00735,0.01433
USA:consumer_goods,SGP:consumer_goods,138.4,0.00992,0.05572
ARG:automotive,ARG:consumer_goods,138.2,0.00248,0.93413
SGP:electronics_c26,IND:aerospace,137.8,0.00605,0.17542
TWN:aerospace,DEU:aerospace,137.5,0.00355,0.00937
VNM:electronics_c26,ISR:electronics_c26,137.4,0.00958,0.01751
DEU:shipping,IND:shipping,137.4,0.05324,0.10395
GBR:shipping,GBR:automotive,137.2,0.00241,0.72434
CHN:aerospace,BRA:aerospace,137.0,0.02334,0.05177
USA:aerospace,JPN:automotive,136.9,0.00039,0.14305
ITA:consumer_goods,BGR:consumer_goods,136.5,0.01794,0.07
THA:shipping,JPN:shipping,135.9,0.00484,0.01628
DEU:electronics_c26,ISR:electronics_c26,135.8,0.00947,0.0173
PRT:automotive,GBR:automotive,135.6,0.00238,0.01107
CZE:automotive,ROU:automotive,135.4,0.00805,0.03182
BEL:shipping,CHE:shipping,135.2,0.006,0.01922
ROU:automotive,POL:automotive,134.5,0.0042,0.01325
GBR:aerospace,ESP:aerospace,134.3,0.0118,0.02948
ROW:shipping,CHE:shipping,134.1,0.00595,0.01906
ROU:automotive,TUR:automotive,134.0,0.00614,0.0243
KOR:shipping,HKG:shipping,133.9,0.00763,0.01172
ITA:consumer_goods,MAR:consumer_goods,133.4,0.00648,0.02636
MEX:automotive,USA:electronics_c26,132.4,0.00109,0.34427
CHN:electronics_c26,RUS:aerospace,131.8,0.00678,0.30798
DNK:shipping,IND:shipping,131.8,0.05109,0.09975
ROW:consumer_goods,PER:consumer_goods,131.7,0.00465,0.01738
ITA:shipping,DEU:shipping,131.7,0.00429,0.03002
JPN:automotive,AUS:automotive,131.6,0.02563,0.19605
SVK:consumer_goods,SVK:automotive,131.3,0.00439,0.40295
CHN:aerospace,TWN:aerospace,131.0,0.01423,0.06146
DEU:electronics_c26,BRA:electronics_c26,131.0,0.00609,0.01351
VNM:consumer_goods,CHE:consumer_goods,130.9,0.0025,0.00811
THA:automotive,ROW:automotive,130.9,0.00313,0.01484
TUR:electronics_c26,TUR:automotive,130.5,0.00598,0.29759
TWN:consumer_goods,KHM:consumer_goods,130.2,0.03103,0.05288
CHN:consumer_goods,USA:aerospace,130.2,0.00084,0.12052
ROW:electronics_c26,ROW:automotive,129.8,0.0031,0.39089
CHN:electronics_c26,TUR:automotive,129.7,0.00594,0.29567
TWN:electronics_c26,BRA:electronics_c26,129.6,0.00603,0.01337
DEU:shipping,MEX:consumer_goods,129.1,0.00108,0.20464
DEU:automotive,FRA:consumer_goods,128.8,0.00065,0.12195
UKR:shipping,UKR:consumer_goods,128.6,0.00449,0.54785
NLD:automotive,CZE:automotive,128.5,0.00293,0.00676
TUR:automotive,BEL:automotive,128.1,0.01022,0.02551
SGP:shipping,DNK:shipping,128.1,0.00413,0.30104
NLD:electronics_c26,ITA:electronics_c26,127.8,0.00809,0.06388
DEU:consumer_goods,PRT:consumer_goods,127.4,0.005,0.01988
SWE:consumer_goods,NOR:consumer_goods,127.2,0.00481,0.01916
AUT:automotive,GBR:automotive,127.0,0.00223,0.01037
USA:automotive,TWN:automotive,127.0,0.01189,0.02533
FRA:shipping,FRA:aerospace,127.0,0.00127,0.46525
SWE:automotive,ESP:automotive,126.7,0.0021,0.00657
GRC:shipping,TUR:shipping,126.7,0.04007,0.16442
CHN:consumer_goods,ARG:consumer_goods,126.2,0.00227,0.0151
PHL:electronics_c26,PHL:consumer_goods,126.2,0.00153,0.38731
ROW:shipping,ROW:electronics_c26,126.1,0.00692,0.4712
DEU:automotive,MYS:automotive,125.9,0.01473,0.03802
THA:automotive,PHL:automotive,125.4,0.05312,0.29847
CHN:automotive,IDN:automotive,125.3,0.00496,0.01608
CHN:consumer_goods,JPN:shipping,125.2,0.00446,0.0808
NLD:electronics_c26,GBR:electronics_c26,125.0,0.01,0.06731
CHN:consumer_goods,UKR:consumer_goods,124.6,0.00435,0.02004
POL:automotive,BEL:automotive,124.6,0.00995,0.02481
GBR:automotive,RUS:automotive,124.5,0.0037,0.00964
SVK:automotive,AUT:automotive,124.4,0.00785,0.02413
JPN:aerospace,JPN:consumer_goods,124.2,0.00032,0.64973
JPN:automotive,AUT:automotive,123.9,0.00782,0.02404
VNM:electronics_c26,FRA:electronics_c26,123.8,0.00769,0.03119
ESP:automotive,MAR:automotive,123.7,0.01861,0.11649
ROW:automotive,CZE:automotive,123.6,0.00281,0.0065
POL:automotive,AUT:automotive,123.2,0.00777,0.02389
NLD:aerospace,DEU:aerospace,122.9,0.00317,0.00837
DEU:electronics_c26,ESP:automotive,122.9,0.00203,0.12828
CHN:automotive,GBR:automotive,122.8,0.00215,0.01002
SWE:automotive,CZE:automotive,122.8,0.0028,0.00646
AUT:consumer_goods,AUT:electronics_c26,122.8,0.02041,0.56145
ITA:electronics_c26,DEU:electronics_c26,122.5,0.00224,0.00983
BRA:aerospace,BRA:consumer_goods,122.4,0.0006,0.3062
ROU:automotive,ITA:automotive,122.3,0.00233,0.01531
DEU:consumer_goods,CZE:automotive,122.0,0.00278,0.08665
THA:electronics_c26,IND:electronics_c26,122.0,0.0039,0.01689
GBR:consumer_goods,BEL:consumer_goods,121.8,0.00244,0.01051
MEX:shipping,MEX:electronics_c26,121.7,0.00156,0.3379
FRA:automotive,ROW:automotive,121.5,0.0029,0.01378
CHE:electronics_c26,ARE:electronics_c26,121.2,0.02128,0.03096
JPN:automotive,USA:aerospace,120.8,0.00078,0.05061
NLD:consumer_goods,DNK:consumer_goods,120.5,0.00506,0.03226
RUS:consumer_goods,RUS:shipping,120.1,0.05157,0.92705
KOR:automotive,POL:automotive,120.1,0.00375,0.01183
MEX:shipping,MEX:automotive,120.0,0.00091,0.17182
SGP:shipping,NLD:shipping,119.9,0.01736,0.10687
FRA:shipping,JPN:shipping,119.7,0.00426,0.01434
AUS:shipping,AUS:consumer_goods,119.6,0.0017,0.87759
FRA:automotive,SWE:automotive,119.4,0.00398,0.02577
KOR:automotive,NLD:automotive,119.2,0.00854,0.01702
CZE:automotive,ROW:automotive,119.0,0.00284,0.0135
DNK:consumer_goods,SWE:consumer_goods,118.6,0.00563,0.04216
DEU:consumer_goods,SWE:consumer_goods,118.5,0.00562,0.0421
FIN:consumer_goods,FIN:electronics_c26,118.4,0.01435,0.76425
GBR:automotive,GBR:consumer_goods,118.4,0.00099,0.5063
HUN:electronics_c26,DEU:automotive,118.3,0.00041,0.05561
KOR:electronics_c26,ROW:electronics_c26,118.2,0.00649,0.02518
THA:consumer_goods,TWN:consumer_goods,117.8,0.00226,0.00863
MEX:electronics_c26,DEU:electronics_c26,117.8,0.00216,0.00946
